Model_version,Image_name,Host,Class,Total_detections,Confidence_threshold,Total_GT,Missed_GT,Average_IoU,Number_objects_in_image,Precision,Recall,Overall_Precision,Overall_Recall
209,290-6_25ppm,Bean,Dead_mite,0,0.5,2,2,0,16,0,0,0.875,0.875
209,306-25ppm,Bean,Adult_female,2,0.5,2,0,0.924,12,1,1,0.917,0.917
209,306-25ppm,Bean,Viable_egg,9,0.5,9,0,0.919,12,1,1,0.917,0.917
209,306-25ppm,Bean,Immature,1,0.5,0,0,0,12,0,0,0.917,0.917
209,306-25ppm,Bean,Adult_male,0,0.5,1,1,0,12,0,0,0.917,0.917
209,333-200ppm,Bean,Adult_female,0,0.5,1,1,0,5,0,0,0.8,0.8
209,333-200ppm,Bean,Viable_egg,1,0.5,1,0,0.939,5,1,1,0.8,0.8
209,333-200ppm,Bean,Dead_mite,4,0.5,3,0,0.862,5,0.75,1,0.8,0.8
209,343-NTC,Bean,Adult_female,2,0.5,2,0,0.895,41,1,1,1,0.951
209,343-NTC,Bean,Viable_egg,37,0.5,39,2,0.856,41,1,0.949,1,0.951
